Time delta:  1.000000 seconds
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 4.398;  y = 2.749;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 4.451;  y = 2.656;  r = 299
vx =  0.054;  vy = -0.093;  vr =  0.000;  x = 4.505;  y = 2.563;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 4.559;  y = 2.470;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 4.619;  y = 2.366;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 4.678;  y = 2.263;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 4.738;  y = 2.160;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 4.798;  y = 2.056;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 4.857;  y = 1.953;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 4.917;  y = 1.849;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 4.977;  y = 1.746;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 5.036;  y = 1.643;  r = 299
vx =  0.060;  vy = -0.103;  vr =  0.000;  x = 5.096;  y = 1.539;  r = 299
vx = -0.000;  vy =  0.000;  vr =  0.000;  x = 5.156;  y = 1.436;  r = 299
vx =  0.069;  vy = -0.107;  vr =  0.095;  x = 5.156;  y = 1.436;  r = 300
vx =  0.079;  vy = -0.100;  vr =  0.095;  x = 5.225;  y = 1.328;  r = 305
vx =  0.088;  vy = -0.093;  vr =  0.095;  x = 5.304;  y = 1.228;  r = 310
vx =  0.097;  vy = -0.084;  vr =  0.095;  x = 5.392;  y = 1.135;  r = 316
vx =  0.104;  vy = -0.074;  vr =  0.095;  x = 5.489;  y = 1.052;  r = 321
vx =  0.111;  vy = -0.064;  vr =  0.095;  x = 5.593;  y = 0.977;  r = 327
vx =  0.116;  vy = -0.053;  vr =  0.095;  x = 5.703;  y = 0.913;  r = 332
vx =  0.121;  vy = -0.042;  vr =  0.095;  x = 5.819;  y = 0.860;  r = 338
vx =  0.124;  vy = -0.030;  vr =  0.095;  x = 5.940;  y = 0.818;  r = 343
vx =  0.089;  vy = -0.019;  vr = -0.012;  x = 6.064;  y = 0.788;  r = 348
vx =  0.105;  vy = -0.022;  vr =  0.000;  x = 6.153;  y = 0.769;  r = 348
vx =  0.105;  vy = -0.022;  vr =  0.000;  x = 6.259;  y = 0.748;  r = 348
vx =  0.105;  vy = -0.022;  vr =  0.000;  x = 6.364;  y = 0.726;  r = 348
vx =  0.105;  vy = -0.022;  vr =  0.000;  x = 6.469;  y = 0.704;  r = 348
vx =  0.105;  vy = -0.022;  vr =  0.000;  x = 6.574;  y = 0.682;  r = 348
vx =  0.105;  vy = -0.022;  vr =  0.000;  x = 6.679;  y = 0.661;  r = 348
vx =  0.105;  vy = -0.022;  vr =  0.000;  x = 6.785;  y = 0.639;  r = 348
vx =  0.105;  vy = -0.022;  vr =  0.000;  x = 6.890;  y = 0.617;  r = 348
vx =  0.105;  vy = -0.022;  vr =  0.000;  x = 6.995;  y = 0.595;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 7.100;  y = 0.573;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 7.217;  y = 0.549;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 7.334;  y = 0.525;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 7.451;  y = 0.501;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 7.568;  y = 0.477;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 7.685;  y = 0.452;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 7.802;  y = 0.428;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 7.919;  y = 0.404;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 8.035;  y = 0.380;  r = 348
vx =  0.117;  vy = -0.024;  vr =  0.000;  x = 8.152;  y = 0.356;  r = 348
vx =  0.016;  vy = -0.003;  vr =  0.012;  x = 8.269;  y = 0.331;  r = 348
vx =  0.124;  vy = -0.018;  vr =  0.093;  x = 8.285;  y = 0.328;  r = 348
vx =  0.125;  vy = -0.007;  vr =  0.093;  x = 8.409;  y = 0.310;  r = 354
vx =  0.125;  vy =  0.005;  vr =  0.093;  x = 8.534;  y = 0.303;  r = 359
vx =  0.124;  vy =  0.017;  vr =  0.093;  x = 8.659;  y = 0.309;  r = 5
vx =  0.122;  vy =  0.028;  vr =  0.093;  x = 8.783;  y = 0.325;  r = 10
vx =  0.119;  vy =  0.039;  vr =  0.093;  x = 8.905;  y = 0.353;  r = 15
vx =  0.115;  vy =  0.050;  vr =  0.093;  x = 9.024;  y = 0.393;  r = 21
vx =  0.109;  vy =  0.061;  vr =  0.093;  x = 9.139;  y = 0.443;  r = 26
vx =  0.103;  vy =  0.071;  vr =  0.093;  x = 9.248;  y = 0.504;  r = 31
vx = -0.007;  vy = -0.005;  vr = -6.290;  x = 9.352;  y = 0.574;  r = 37
